age,steps_per_day,active_minutes,sedentary_minutes,sleep_hours,sleep_quality,stress_level,workouts_per_week,diet_quality,hydration_liters,bmi,heart_rate_resting,heart_rate_avg,calories_burned,consistency_score,lifestyle_category,fitness_level
52,10181,122,969,6.82,7.22,5.59,4,8.08,1.36,19.75,61.9,100.5,1500.0,8.34,Active,Fit
29,8319,64,1128,6.16,4.04,7.55,4,2.93,1.13,21.09,63.9,127.3,1500.0,6.37,Active,Unfit
58,3856,47,1042,6.3,3.19,6.34,6,6.69,2.4,30.6,72.1,123.6,1500.0,6.04,Athlete,Unfit
61,8098,102,1091,6.31,4.23,6.89,0,8.84,2.03,22.22,62.3,120.3,1500.0,6.75,Sedentary,Moderate
43,11954,129,1004,4.62,2.23,8.0,1,6.22,4.26,16.0,52.7,91.2,1500.0,5.31,Sedentary,Unfit
64,10188,77,1100,9.4,8.84,5.53,2,9.11,1.24,19.17,58.1,99.0,1500.0,5.66,Active,Moderate
51,7127,66,1124,8.53,8.02,6.18,2,6.84,3.49,24.12,61.0,110.2,1500.0,7.03,Active,Moderate
40,4398,32,1071,4.36,1.59,5.14,4,7.54,2.94,33.15,78.1,125.8,1500.0,6.46,Active,Unfit
48,6317,60,1120,7.45,7.8,6.75,3,7.05,1.68,25.21,68.1,120.5,1500.0,10.0,Active,Moderate
37,6395,36,1168,6.38,6.95,7.29,2,6.4,3.06,30.42,72.1,106.2,1500.0,9.03,Active,Unfit
29,6915,38,1139,7.87,7.49,5.4,1,6.85,4.27,28.48,70.7,105.8,1500.0,7.96,Sedentary,Moderate
40,8409,100,1133,6.64,5.98,6.29,5,4.36,1.82,20.35,65.7,118.4,1500.0,9.37,Athlete,Moderate
21,6541,59,1200,5.86,5.56,4.19,1,4.66,2.38,26.07,70.1,139.0,1500.0,8.97,Sedentary,Unfit
40,6199,85,992,5.66,3.82,7.3,6,6.79,2.21,23.97,68.8,108.5,1500.0,5.76,Athlete,Moderate
18,7156,57,1055,6.15,5.58,6.37,3,6.95,1.88,25.61,66.0,116.1,1500.0,7.59,Active,Moderate
42,9559,101,1091,6.76,5.23,8.16,2,7.59,2.92,19.19,61.3,89.2,1500.0,8.26,Active,Moderate
19,8788,86,1071,4.84,4.46,4.6,7,4.79,3.16,16.05,62.9,110.2,1500.0,9.65,Athlete,Unfit
47,8220,60,1088,4.73,5.92,8.22,6,4.55,0.87,17.05,65.2,104.2,1500.0,7.24,Athlete,Unfit
20,6327,76,1147,5.64,4.95,9.48,4,8.16,3.17,25.15,67.8,89.6,1500.0,6.59,Active,Fit
38,7281,63,990,5.66,6.18,5.49,2,5.64,3.19,24.71,64.8,107.9,1500.0,9.56,Active,Moderate
42,6774,49,1076,5.49,3.71,7.11,3,9.96,2.59,23.66,70.6,136.9,1500.0,5.05,Active,Moderate
37,4941,51,1076,4.3,5.1,5.71,1,4.34,3.48,29.19,72.8,116.9,1500.0,8.15,Sedentary,Unfit
39,8449,88,1055,6.74,4.3,9.47,2,9.95,1.73,21.74,61.7,102.3,1500.0,4.59,Active,Moderate
38,8073,61,1025,5.05,5.34,6.99,4,5.13,3.29,28.31,69.7,103.8,1500.0,7.28,Active,Moderate
50,6262,53,1058,6.69,6.51,7.98,3,7.66,0.68,29.57,66.9,114.4,1500.0,8.13,Active,Moderate
55,6617,67,1020,7.83,8.47,3.52,2,7.55,3.49,23.91,66.0,107.6,1500.0,5.62,Active,Moderate
32,9295,91,1017,8.34,8.61,4.76,4,3.63,2.54,19.93,64.3,103.2,1500.0,4.76,Active,Moderate
63,4951,50,1050,5.32,2.2,6.36,5,6.9,2.43,26.66,67.8,113.3,1500.0,5.08,Athlete,Unfit
32,5683,75,1046,5.51,3.71,9.0,5,2.55,2.0,21.72,67.7,96.2,1500.0,6.25,Athlete,Unfit
63,7685,70,1033,6.72,6.86,4.71,0,5.69,2.26,20.85,68.4,125.8,1500.0,8.84,Sedentary,Unfit
42,4854,49,1104,6.83,6.75,7.34,4,10.0,2.43,34.48,71.6,123.3,1500.0,10.0,Active,Moderate
38,4831,39,1107,5.76,3.81,7.21,3,7.5,2.17,30.21,68.7,102.6,1500.0,6.31,Active,Unfit
41,7727,101,1044,7.33,6.89,5.1,2,6.72,3.21,24.62,63.1,108.4,1500.0,7.68,Active,Moderate
22,5111,50,1147,4.78,4.92,9.32,6,6.02,3.05,26.71,73.0,120.0,1500.0,5.18,Athlete,Unfit
23,6464,27,1161,5.55,5.56,3.26,1,7.62,1.77,26.78,66.7,107.5,1500.0,7.79,Sedentary,Unfit
60,4717,63,1008,5.33,6.62,6.84,1,5.47,3.26,28.58,70.8,106.1,1500.0,10.0,Sedentary,Unfit
61,4461,31,1150,6.62,6.09,5.77,3,8.05,1.5,31.31,69.0,112.2,1500.0,10.0,Active,Unfit
64,9382,107,987,5.58,5.88,4.92,4,10.0,2.45,22.18,64.4,88.7,1500.0,8.73,Active,Fit
40,3983,43,1067,4.67,2.63,8.49,4,5.65,3.37,31.05,72.3,120.7,1500.0,4.68,Active,Unfit
21,7771,76,1034,7.57,9.18,5.91,2,5.6,2.34,21.41,60.5,123.2,1500.0,7.93,Active,Fit
44,7049,74,1145,6.13,5.89,6.11,4,4.22,2.05,26.86,66.6,90.6,1500.0,10.0,Active,Moderate
35,10827,109,1022,5.42,2.84,9.35,3,10.0,2.04,16.0,60.0,109.4,1500.0,4.51,Active,Moderate
38,8637,116,999,4.28,4.63,9.17,1,6.35,2.85,18.89,63.4,113.2,1500.0,7.03,Sedentary,Unfit
45,10878,103,1074,8.07,8.36,5.94,1,4.47,4.4,16.0,56.8,94.8,1500.0,6.18,Sedentary,Moderate
52,8319,88,1086,4.72,3.44,8.67,3,4.99,3.97,24.95,61.6,85.8,1500.0,6.1,Active,Unfit
39,6270,64,1090,6.83,7.55,4.56,3,6.84,2.26,24.16,68.3,97.9,1500.0,5.36,Active,Moderate
57,5585,77,1172,6.86,8.03,3.03,3,3.76,2.53,24.53,66.2,96.7,1500.0,5.01,Active,Moderate
40,9300,92,1067,5.7,3.1,6.99,4,5.14,3.61,18.35,60.0,94.9,1500.0,5.94,Active,Moderate
20,5632,45,1144,7.05,5.56,6.37,7,6.44,2.63,26.13,64.1,103.3,1500.0,10.0,Athlete,Moderate
57,5708,63,1029,3.34,1.0,8.12,3,8.96,1.83,27.51,76.2,111.4,1500.0,1.68,Active,Unfit
27,10031,102,1119,7.54,6.65,2.43,1,5.8,2.32,18.41,62.1,112.4,1500.0,7.64,Sedentary,Moderate
42,2148,10,1114,7.68,4.57,4.34,3,4.28,2.22,32.62,73.8,127.3,1500.0,10.0,Active,Unfit
25,1000,10,1099,4.48,6.28,4.48,1,7.83,2.53,35.14,79.4,125.3,1500.0,8.02,Sedentary,Unfit
28,3102,41,1008,4.75,5.33,8.56,1,6.42,2.76,31.95,71.5,103.3,1500.0,7.13,Sedentary,Unfit
22,8142,110,1119,7.83,10.0,5.85,5,4.95,2.43,27.04,63.0,112.3,1500.0,6.21,Athlete,Moderate
62,5707,46,1020,8.4,7.33,5.92,3,10.0,3.47,27.42,65.0,97.8,1500.0,7.05,Active,Moderate
54,3125,48,1096,6.44,5.37,8.18,3,9.26,1.54,28.76,69.8,103.1,1500.0,7.81,Active,Unfit
62,6346,68,1079,4.6,4.54,7.98,3,3.98,1.87,24.48,68.6,125.4,1500.0,6.29,Active,Unfit
55,7887,73,1059,4.43,5.65,5.65,2,7.35,1.85,22.44,58.8,111.1,1500.0,8.95,Active,Moderate
46,12067,102,1078,5.79,3.66,7.5,5,4.49,3.17,16.0,55.7,84.7,1500.0,6.17,Athlete,Moderate
22,9190,84,1081,6.07,6.65,6.39,1,10.0,1.58,20.92,67.6,107.1,1500.0,9.45,Sedentary,Moderate
26,6110,74,988,6.04,3.9,7.04,3,5.94,4.04,30.53,65.3,112.4,1500.0,6.31,Active,Moderate
19,4370,28,1081,5.58,6.97,7.15,1,5.42,2.54,32.25,70.6,101.9,1500.0,9.62,Sedentary,Unfit
18,6549,68,1091,6.21,7.5,5.24,7,2.83,1.02,27.08,65.3,101.3,1500.0,7.17,Athlete,Moderate
57,7087,99,985,4.67,4.43,9.69,1,3.23,1.94,26.57,65.0,106.9,1500.0,5.91,Sedentary,Unfit
47,6504,69,1101,7.03,8.09,6.8,0,4.13,1.54,20.61,62.9,89.1,1500.0,7.9,Sedentary,Unfit
28,7176,93,870,6.45,6.41,4.39,3,9.85,2.36,26.41,68.5,99.7,1500.0,7.23,Active,Moderate
45,9209,83,1077,5.42,4.96,6.79,1,4.52,1.98,19.26,59.5,98.9,1500.0,9.03,Sedentary,Moderate
61,1502,29,1039,4.09,8.36,4.47,2,6.35,2.86,31.42,78.9,120.7,1500.0,6.13,Active,Unfit
29,9888,114,1033,5.29,2.67,8.99,2,7.68,3.53,22.56,53.9,96.8,1500.0,3.21,Active,Moderate
56,3934,51,1077,6.77,6.36,7.14,4,4.46,2.93,26.22,71.0,110.0,1500.0,9.16,Active,Unfit
43,7976,82,1044,8.05,8.7,4.86,5,8.28,3.09,23.23,63.2,99.4,1500.0,5.29,Athlete,Moderate
30,8553,86,1005,8.44,8.68,5.13,1,6.03,2.97,21.85,62.3,106.3,1500.0,4.97,Sedentary,Moderate
25,7666,77,1106,6.42,5.55,7.87,1,6.36,2.07,22.04,64.5,91.9,1500.0,5.66,Sedentary,Moderate
45,3547,56,1145,5.86,7.21,6.98,4,2.9,2.7,33.46,73.4,113.9,1500.0,7.66,Active,Unfit
47,6075,53,1087,7.26,7.29,9.0,1,6.96,4.62,21.36,67.8,111.8,1500.0,7.65,Sedentary,Unfit
26,3238,63,1028,5.88,3.96,6.52,5,6.2,2.43,36.02,76.0,109.9,1500.0,7.64,Athlete,Unfit
56,9886,138,1030,8.74,10.0,2.01,6,8.01,3.2,16.0,51.9,104.6,1500.0,2.79,Athlete,Fit
48,7018,64,1038,5.66,6.92,5.68,2,7.24,3.22,24.41,72.0,109.8,1500.0,7.56,Active,Moderate
38,12911,128,996,6.83,6.96,4.92,3,3.81,2.26,16.0,59.6,91.3,1500.0,8.91,Active,Moderate
64,4788,24,1198,5.91,5.4,7.27,2,5.14,3.34,28.11,66.6,110.9,1500.0,9.02,Active,Unfit
51,4804,75,1007,3.0,1.73,7.22,2,7.42,2.88,25.3,73.8,97.9,1500.0,4.98,Active,Unfit
48,4572,54,1054,6.15,4.44,6.11,2,6.1,3.23,30.87,72.1,118.0,1500.0,7.76,Active,Unfit
42,5922,44,1081,7.78,8.61,4.28,4,6.16,2.7,30.97,69.0,110.6,1500.0,4.91,Active,Moderate
29,6856,63,1012,5.73,5.75,6.39,1,8.69,3.38,22.92,71.5,101.8,1500.0,9.59,Sedentary,Moderate
18,9172,84,1111,6.57,4.41,8.54,4,2.75,2.15,22.41,56.4,89.1,1500.0,6.9,Active,Unfit
39,12428,103,980,6.78,9.44,6.22,0,8.6,1.91,16.0,51.5,85.3,1500.0,8.21,Sedentary,Moderate
57,5606,57,1061,7.78,8.08,5.05,2,4.76,3.13,21.34,75.7,116.1,1500.0,5.63,Active,Moderate
54,7607,84,1022,7.48,8.7,4.2,3,3.23,2.18,20.94,64.3,96.3,1500.0,6.39,Active,Moderate
64,4370,45,955,6.08,6.69,4.89,4,4.35,4.01,31.57,69.4,99.5,1500.0,7.69,Active,Fit
18,5356,59,1106,5.43,9.14,3.25,2,6.97,3.34,28.86,70.1,120.5,1500.0,4.8,Active,Moderate
18,1115,10,1132,5.62,8.54,5.35,3,7.38,2.94,35.66,78.8,110.5,1500.0,5.94,Active,Unfit
59,1802,10,1200,7.53,6.45,4.98,5,2.4,3.03,29.52,74.1,115.4,1500.0,8.14,Athlete,Unfit
59,6351,60,1075,5.66,6.31,4.71,3,4.81,3.83,29.42,69.9,130.3,1500.0,7.29,Active,Moderate
38,13375,153,982,7.09,8.26,6.98,3,2.92,2.79,16.0,53.8,110.8,1500.0,9.14,Active,Moderate
32,7999,74,1009,5.46,5.78,4.4,2,5.8,1.12,24.47,66.6,124.1,1500.0,7.02,Active,Moderate
34,2821,45,1105,6.34,6.77,4.37,1,7.74,1.36,34.94,74.3,121.3,1500.0,5.62,Sedentary,Unfit
39,6623,63,1022,6.28,6.38,5.27,1,5.75,2.37,25.29,70.5,107.0,1500.0,8.05,Sedentary,Moderate
55,12683,121,1117,5.31,5.02,5.47,2,5.62,3.27,16.0,54.1,95.5,1500.0,10.0,Active,Moderate
52,9867,85,1063,6.37,8.02,6.18,4,8.35,1.04,19.62,57.7,110.1,1500.0,8.19,Active,Moderate
62,9859,104,1086,7.35,7.82,5.53,3,4.16,2.82,20.48,63.3,106.8,1500.0,7.72,Active,Moderate
33,5824,53,1059,7.4,6.11,5.27,2,1.9,2.38,22.74,72.1,92.6,1500.0,8.07,Active,Unfit
25,2193,32,1077,4.21,4.34,7.26,4,4.98,2.84,38.08,72.1,116.6,1500.0,7.25,Active,Unfit
64,4373,31,1015,7.17,6.44,5.74,2,4.89,2.01,33.24,67.6,107.2,1500.0,9.31,Active,Unfit
34,7228,81,1054,6.26,7.09,5.4,1,9.05,1.25,22.85,66.4,102.1,1500.0,8.2,Sedentary,Moderate
34,8922,91,1024,5.08,3.94,6.41,2,6.99,3.03,18.52,60.8,102.6,1500.0,9.48,Active,Moderate
43,3376,24,1107,5.89,6.92,7.46,5,6.79,3.94,33.97,70.7,119.1,1500.0,9.39,Athlete,Fit
30,3262,25,1121,6.9,7.06,6.97,2,6.85,2.01,31.01,66.3,116.6,1500.0,9.9,Active,Unfit
34,11051,108,1104,5.58,3.25,10.0,1,9.93,2.96,21.12,52.5,81.1,1500.0,3.09,Sedentary,Moderate
55,5012,46,1103,4.96,6.0,4.49,2,8.17,3.2,28.77,65.3,95.8,1500.0,6.17,Active,Unfit
34,8124,106,1028,6.0,4.75,7.12,5,6.95,2.87,20.31,64.1,101.6,1500.0,8.63,Athlete,Moderate
31,1005,13,1098,6.04,5.56,6.09,0,4.43,2.87,37.16,72.8,118.8,1500.0,9.81,Sedentary,Unfit
62,3868,32,1168,6.32,6.28,6.06,1,3.5,1.53,29.58,69.1,104.1,1500.0,9.31,Sedentary,Unfit
23,8383,100,999,7.78,9.3,3.56,2,6.7,4.18,23.23,65.5,113.3,1500.0,2.92,Active,Moderate
52,7541,95,1137,5.83,4.63,6.63,3,5.57,3.65,27.25,62.1,97.3,1500.0,7.9,Active,Moderate
63,11328,103,998,7.67,7.37,5.29,1,7.92,2.74,16.0,56.0,95.4,1500.0,7.31,Sedentary,Moderate
31,10979,136,995,6.38,7.24,6.69,2,9.1,1.17,17.09,64.4,109.2,1500.0,9.22,Active,Moderate
64,8766,87,1045,5.9,6.31,6.03,2,5.87,1.52,22.62,58.4,85.3,1500.0,10.0,Active,Moderate
25,9500,91,999,4.53,7.27,6.78,7,8.53,1.87,23.7,56.8,99.2,1500.0,9.66,Athlete,Moderate
32,4722,46,1200,7.88,8.96,2.01,4,8.82,3.65,28.5,73.4,119.8,1500.0,2.75,Active,Moderate
44,8394,48,1115,5.27,6.41,6.91,4,5.38,2.85,16.0,67.3,103.2,1500.0,10.0,Active,Unfit
30,5241,55,1107,8.26,8.77,6.77,3,7.47,1.24,27.16,73.5,103.8,1500.0,6.63,Active,Moderate
48,6241,66,1145,6.65,5.58,6.78,2,6.17,1.54,20.15,70.0,105.3,1500.0,10.0,Active,Unfit
52,5500,48,1173,7.99,6.7,6.97,6,6.87,3.19,27.2,70.7,126.0,1500.0,9.4,Athlete,Moderate
23,7231,64,1036,6.98,7.89,4.73,1,9.51,2.46,26.01,69.4,123.0,1500.0,7.21,Sedentary,Moderate
22,10982,96,1149,7.72,8.98,4.11,7,8.16,2.58,17.72,54.0,80.0,1500.0,3.95,Athlete,Moderate
39,6381,55,1200,6.63,5.22,3.87,4,4.54,1.32,26.25,69.6,130.0,1500.0,10.0,Active,Fit
40,9638,86,1049,5.94,5.95,6.22,1,5.22,2.77,18.28,59.5,100.2,1500.0,8.4,Sedentary,Unfit
42,9653,105,964,4.55,2.56,9.34,1,5.35,2.05,25.6,60.5,102.1,1500.0,3.19,Sedentary,Unfit
51,8453,88,1117,5.35,3.41,9.35,4,7.31,1.01,25.98,66.9,112.9,1500.0,5.03,Active,Unfit
43,1759,10,1044,5.59,5.83,6.31,3,6.83,2.6,40.0,81.3,124.1,1500.0,9.13,Active,Unfit
64,6212,62,1043,7.13,9.05,5.07,2,6.26,2.44,22.28,68.0,113.6,1500.0,6.93,Active,Moderate
22,14389,157,870,3.92,5.96,6.87,7,4.46,3.95,16.0,50.8,80.0,1500.0,8.23,Athlete,Moderate
43,2878,10,1145,5.03,6.39,7.14,1,6.28,3.88,29.69,77.2,103.6,1500.0,10.0,Sedentary,Unfit
37,7996,68,1066,6.23,6.84,6.98,4,5.2,1.89,26.29,66.1,122.6,1500.0,9.27,Active,Moderate
23,8867,81,1118,5.11,5.2,9.17,2,4.61,3.06,22.47,66.7,117.6,1500.0,6.74,Active,Unfit
23,7741,68,994,6.99,5.62,8.76,6,5.0,3.08,25.43,56.7,110.6,1500.0,6.73,Athlete,Moderate
35,10672,97,1127,7.24,5.55,7.47,4,7.78,2.07,16.0,60.6,94.6,1500.0,9.82,Active,Moderate
21,6210,43,1157,5.32,5.42,6.42,2,4.67,1.62,26.97,70.8,113.5,1500.0,8.19,Active,Fit
34,2682,29,1026,6.39,4.65,7.96,7,2.17,2.67,35.11,77.6,121.7,1500.0,6.25,Athlete,Unfit
31,6530,57,1015,4.61,6.34,7.59,3,8.75,3.09,26.44,67.6,107.4,1500.0,8.65,Active,Fit
31,6552,56,1030,6.1,7.89,5.33,0,6.89,2.49,27.1,72.6,102.6,1500.0,7.11,Sedentary,Moderate
30,6444,59,1079,5.94,5.7,7.72,7,8.19,3.16,23.3,64.0,118.1,1500.0,7.99,Athlete,Moderate
24,9823,96,1088,6.76,4.75,6.92,1,4.06,2.33,16.0,58.3,96.5,1500.0,8.83,Sedentary,Unfit
61,12905,119,978,6.89,9.59,4.19,4,6.79,1.49,16.0,52.5,95.2,1500.0,4.44,Active,Fit
32,6296,88,973,5.78,2.66,9.51,7,4.35,3.73,28.48,68.7,125.8,1500.0,4.89,Athlete,Unfit
36,8136,72,1017,8.17,7.61,7.8,7,5.49,2.09,22.21,64.2,115.8,1500.0,10.0,Athlete,Moderate
60,6046,46,920,6.68,6.87,3.7,3,8.17,3.16,25.95,63.4,115.3,1500.0,6.72,Active,Moderate
64,1948,42,1136,6.33,6.01,7.47,6,4.57,2.65,34.23,81.4,100.4,1500.0,7.91,Athlete,Unfit
61,8603,67,1061,6.24,7.6,6.1,5,4.28,2.17,21.31,62.3,98.4,1500.0,7.77,Athlete,Moderate
52,4539,46,1094,9.49,8.58,4.85,3,7.44,2.19,33.23,69.9,107.2,1500.0,5.52,Active,Moderate
34,6559,91,884,5.49,3.33,9.15,3,4.34,3.7,25.12,67.2,95.5,1500.0,4.27,Active,Moderate
52,8669,78,1085,6.03,6.29,5.99,1,8.5,1.75,18.84,59.3,107.4,1500.0,9.27,Sedentary,Moderate
36,6061,68,1006,4.94,4.38,7.7,5,3.78,0.88,21.52,71.1,88.8,1500.0,8.07,Athlete,Unfit
37,2093,16,1093,6.29,7.97,6.93,1,4.21,3.14,33.08,77.3,119.0,1500.0,8.78,Sedentary,Unfit
53,5088,50,1039,5.96,4.47,5.12,4,7.93,2.28,25.49,69.7,108.0,1500.0,8.8,Active,Moderate
52,5718,50,1111,5.47,5.49,8.27,6,9.12,3.8,26.31,66.3,103.7,1500.0,6.04,Athlete,Unfit
49,7825,54,1046,6.5,7.86,6.39,2,6.55,2.05,20.7,64.5,103.8,1500.0,9.52,Active,Moderate
61,9529,100,940,6.14,3.81,7.47,6,7.14,3.72,21.29,58.7,94.3,1500.0,5.71,Athlete,Moderate
57,7617,105,1096,5.95,3.74,6.81,1,5.93,4.54,23.01,64.5,80.9,1500.0,5.8,Sedentary,Moderate
41,6452,88,1096,7.64,9.06,4.57,5,7.95,2.56,26.33,65.3,108.0,1500.0,4.53,Athlete,Moderate
34,7968,116,1079,7.5,7.3,6.06,2,4.34,2.67,24.54,62.7,105.6,1500.0,8.35,Active,Moderate
24,7258,63,1007,7.3,10.0,3.87,1,6.15,1.56,21.05,63.7,108.0,1500.0,4.76,Sedentary,Moderate
60,5368,61,1011,6.07,6.46,7.33,1,7.76,2.24,25.0,70.1,100.8,1500.0,7.81,Sedentary,Moderate
18,9809,70,1157,5.23,4.97,7.09,2,5.78,3.72,18.36,56.4,84.0,1500.0,6.82,Active,Moderate
52,3147,35,1082,7.11,8.16,6.23,3,6.28,2.69,33.39,72.6,115.1,1500.0,8.61,Active,Unfit
49,7362,97,1027,5.96,7.13,3.68,6,6.18,1.42,22.85,67.1,95.3,1500.0,6.14,Athlete,Moderate
53,6762,86,1062,4.96,5.25,8.37,5,1.28,2.76,21.95,65.2,114.9,1500.0,7.55,Athlete,Unfit
30,9681,94,1051,4.92,5.56,5.46,5,5.81,2.73,16.65,60.6,116.4,1500.0,9.43,Athlete,Moderate
23,2818,22,982,7.46,9.46,7.5,0,7.19,1.94,32.03,74.4,127.2,1500.0,8.31,Sedentary,Unfit
31,6669,71,1079,6.01,7.34,5.59,2,6.47,2.66,30.28,68.2,123.6,1500.0,8.44,Active,Moderate
54,8673,82,1040,7.4,6.1,8.14,4,6.78,3.81,16.24,57.4,100.5,1500.0,5.48,Active,Moderate
32,4062,51,1060,7.72,7.73,3.44,7,6.54,2.75,30.96,70.4,102.6,1500.0,5.49,Athlete,Moderate
64,7176,66,1143,6.34,6.92,7.83,2,9.04,1.14,23.34,65.4,103.6,1500.0,10.0,Active,Moderate
21,6879,56,1039,8.06,6.5,1.61,1,6.64,2.82,25.14,70.5,119.5,1500.0,4.48,Sedentary,Moderate
57,7113,78,1049,5.25,4.86,7.17,3,5.5,1.22,23.73,68.3,122.1,1500.0,7.66,Active,Fit
33,1000,10,1039,6.26,7.27,6.08,4,7.25,1.56,34.17,73.3,122.3,1500.0,8.1,Active,Unfit
45,5785,57,1084,5.6,8.44,4.7,7,7.54,1.84,24.46,66.3,108.4,1500.0,7.53,Athlete,Moderate
33,7809,69,990,5.56,5.64,9.23,3,5.13,2.08,24.71,63.7,99.9,1500.0,6.4,Active,Unfit
21,3357,18,1198,9.65,10.0,2.68,1,8.95,1.21,35.81,72.1,107.9,1500.0,1.87,Sedentary,Unfit
62,5589,50,1125,7.24,6.25,4.62,6,5.72,1.84,29.59,68.4,99.1,1500.0,8.12,Athlete,Moderate
43,5807,40,1170,6.48,8.32,4.49,4,3.58,3.81,23.77,72.2,95.0,1500.0,5.63,Active,Unfit
45,6122,47,1062,7.87,6.96,4.32,3,6.77,1.96,27.36,67.7,109.4,1500.0,7.09,Active,Moderate
49,3238,29,1021,7.13,6.43,6.23,4,4.87,2.22,35.02,78.3,115.0,1500.0,9.59,Active,Unfit
62,6732,85,975,6.27,6.96,7.91,3,8.77,4.56,25.24,65.4,108.2,1500.0,9.17,Active,Moderate
19,5602,66,1048,9.99,10.0,4.41,0,5.44,2.94,27.4,66.2,103.5,1500.0,4.0,Sedentary,Moderate
48,7705,91,969,5.52,6.9,5.96,6,6.05,2.08,27.26,62.9,105.3,1500.0,9.1,Athlete,Moderate
20,4082,45,1094,5.52,6.95,5.91,6,4.98,3.25,30.23,68.9,112.1,1500.0,8.85,Athlete,Unfit
25,4591,36,1077,6.18,5.6,6.76,2,3.21,3.28,36.02,72.9,95.5,1500.0,8.33,Active,Unfit
41,3360,34,1126,6.06,6.72,8.65,4,5.15,0.98,30.24,71.7,114.8,1500.0,8.23,Active,Unfit
32,7445,64,1041,7.55,8.83,4.15,2,1.44,2.6,27.71,60.3,111.1,1500.0,3.19,Active,Moderate
60,6708,75,1198,7.34,6.59,6.95,5,5.84,2.3,21.87,66.0,122.3,1500.0,8.38,Athlete,Moderate
48,8890,83,971,6.17,2.68,9.63,3,8.12,1.54,21.76,63.6,116.0,1500.0,1.65,Active,Moderate
26,3513,31,1110,6.11,7.51,4.63,5,6.76,3.39,29.42,76.1,112.9,1500.0,6.57,Athlete,Moderate
56,8086,83,1028,5.68,5.22,9.09,3,7.43,3.48,26.16,61.5,92.3,1500.0,5.64,Active,Moderate
62,7068,80,1126,7.88,7.29,5.89,0,7.96,2.31,19.25,63.6,93.8,1500.0,8.94,Sedentary,Moderate
19,7156,62,1170,5.44,4.32,7.68,4,4.77,3.96,20.77,63.1,108.3,1500.0,5.88,Active,Unfit
25,7624,54,1045,8.87,9.56,3.91,5,7.3,3.0,24.78,58.3,84.3,1500.0,4.16,Athlete,Moderate
24,8568,66,1091,7.46,6.26,6.77,1,5.3,1.84,16.45,62.5,81.8,1500.0,10.0,Sedentary,Unfit
61,5834,43,1047,6.32,5.05,9.1,1,3.98,2.95,25.99,66.2,107.5,1500.0,6.24,Sedentary,Unfit
56,1317,20,1048,5.63,7.29,6.37,3,6.25,1.9,36.13,80.7,114.4,1500.0,9.29,Active,Unfit
59,6696,68,976,6.37,6.6,4.65,2,7.08,3.49,23.9,66.7,107.3,1500.0,8.23,Active,Moderate
33,6551,86,1051,6.01,8.44,4.18,2,4.72,3.04,25.77,65.9,111.7,1500.0,6.93,Active,Moderate
52,7028,76,1187,6.72,8.0,5.84,1,6.29,2.7,29.91,67.4,118.5,1500.0,8.1,Sedentary,Moderate
47,7814,89,1017,5.8,5.38,5.47,4,4.76,1.44,17.58,66.1,126.6,1500.0,10.0,Active,Moderate
27,4897,30,1136,7.26,7.77,2.64,3,1.93,0.88,29.66,68.2,91.3,1500.0,5.79,Active,Unfit
55,5465,48,1119,7.06,7.52,5.58,1,5.91,2.59,28.34,71.6,94.9,1500.0,7.26,Sedentary,Unfit
35,7721,81,1075,8.51,8.39,4.86,3,6.59,2.23,21.79,63.4,106.0,1500.0,6.63,Active,Moderate
22,7538,74,1115,6.86,6.09,7.68,2,1.0,2.27,26.41,58.8,80.0,1500.0,7.94,Active,Unfit
46,7158,104,954,6.53,7.77,6.7,1,6.24,2.58,27.03,69.0,121.0,1500.0,10.0,Sedentary,Moderate
56,6086,74,990,6.66,6.58,5.96,4,1.66,3.23,27.84,68.8,106.7,1500.0,10.0,Active,Unfit
51,8310,87,1098,8.1,6.16,3.41,5,7.38,1.68,27.6,63.3,106.9,1500.0,5.9,Athlete,Moderate
60,10485,98,1091,7.2,4.45,5.16,0,4.82,2.2,16.0,55.4,95.6,1500.0,10.0,Sedentary,Moderate
62,11062,120,900,8.03,8.76,4.31,1,2.57,3.19,16.0,60.4,95.0,1500.0,5.2,Sedentary,Fit
40,8809,91,1073,5.1,3.54,8.65,2,4.3,3.51,20.52,61.4,80.0,1500.0,4.04,Active,Unfit
22,5325,36,1117,6.61,6.97,7.86,2,9.03,0.83,28.64,74.1,118.6,1500.0,8.24,Active,Unfit
47,4331,33,1105,7.85,10.0,4.8,2,7.05,1.47,26.28,74.4,108.2,1500.0,4.57,Active,Moderate
23,5394,44,1137,7.57,6.9,6.94,1,7.98,1.7,27.0,71.9,110.2,1500.0,10.0,Sedentary,Unfit
63,1348,24,1200,5.2,2.86,8.42,1,9.18,2.42,32.49,77.0,121.8,1500.0,4.7,Sedentary,Unfit
61,8020,93,1200,4.9,3.25,9.71,5,9.53,2.34,24.05,61.3,110.1,1500.0,4.08,Athlete,Fit
21,6187,72,1044,6.48,4.84,7.63,3,7.22,1.9,23.34,61.8,80.4,1500.0,8.73,Active,Moderate
46,7678,65,1091,6.3,4.92,9.37,1,5.73,3.2,27.11,69.4,105.3,1500.0,7.03,Sedentary,Unfit
40,6739,48,1068,6.78,6.85,4.15,1,5.47,2.34,28.4,68.5,96.9,1500.0,8.6,Sedentary,Unfit
23,5435,43,1035,5.93,4.65,9.55,0,5.69,3.23,32.18,74.2,108.4,1500.0,5.71,Sedentary,Unfit
